trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.0, 'e': 1.0}",30,11,-21.31740396864438,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.9900498337491681, 'e': 0.9900498337491681}",25,0,-180.8775991942628,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.9801986733067553, 'e': 0.9801986733067553}",20,0,-91.01368066679655,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.9704455335485082, 'e': 0.9704455335485082}",30,0,-170.89430420316515,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.9607894391523232, 'e': 0.9607894391523232}",20,0,-146.89316509295116,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.951229424500714, 'e': 0.951229424500714}",20,0,-44.9168317284248,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.9417645335842487, 'e': 0.9417645335842487}",25,0,-129.5510714148746,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
8,False,"{'a': 0.9323938199059483, 'e': 0.9323938199059483}",20,0,-121.85520856965788,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.9231163463866358, 'e': 0.9231163463866358}",25,5,-42.009717889383786,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.9139311852712282, 'e': 0.9139311852712282}",25,0,-118.85108924806354,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.9048374180359595, 'e': 0.9048374180359595}",25,0,-142.77384192725472,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.8958341352965282, 'e': 0.8958341352965282}",25,0,-77.95791491505923,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.8869204367171575, 'e': 0.8869204367171575}",20,0,-82.8066559396239,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.8780954309205613, 'e': 0.8780954309205613}",25,0,-104.63353957327308,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.8693582353988059, 'e': 0.8693582353988059}",20,0,-26.443473567973165,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.8607079764250578, 'e': 0.8607079764250578}",20,0,-109.1204376748825,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
