trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,7,-10.8030465324875,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.38538484135576,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.17229892926284,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.35972605590257,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.468571442175,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,8,-123.69887004093616,"{0: 7, 1: 5, 2: 3, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.61465380965083,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.83500596565543,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.15589379570646,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.06823100892753,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.7160072825912,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.56911158613254,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,1,-86.02376162396939,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.18756090095215,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.4709768196406,"{0: 15, 1: 8, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.67021266576779,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.58587802658255,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,15,-50.322610739420114,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.4792076548068,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.37403915567165,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-198.46188263997914,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-59.287068163938564,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-47.80512918933753,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,14,-49.07935390871512,"{0: 5, 1: 1, 2: 5, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.59720736502476,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-39.82953315875082,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.56916211260783,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.81412356814546,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-102.19437080963407,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.94674276183773,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
